Feature,PI_Mean,PI_Std
THD,0.0001687499999999953,5.625000000001076e-05
Va,0.0,0.0
Ib_rollstd,0.0,0.0
dIref_dt,0.0,0.0
dTHD_dt,0.0,0.0
dImean_dt,0.0,0.0
Va_rollmean,0.0,0.0
Va_rollstd,0.0,0.0
Vb_rollmean,0.0,0.0
Vb_rollstd,0.0,0.0
Vc_rollmean,0.0,0.0
Vc_rollstd,0.0,0.0
Ia_rollmean,0.0,0.0
Ia_rollstd,0.0,0.0
Ib_rollmean,0.0,0.0
Ic_rollmean,0.0,0.0
dIb_dt,0.0,0.0
Ic_rollstd,0.0,0.0
Iref_rollmean,0.0,0.0
Iref_rollstd,0.0,0.0
THD_rollmean,0.0,0.0
THD_rollstd,0.0,0.0
is_voltage_spike_ab,0.0,0.0
is_voltage_spike_bc,0.0,0.0
is_voltage_spike_ca,0.0,0.0
is_current_imbalanced,0.0,0.0
is_zero_current,0.0,0.0
is_zero_Iref,0.0,0.0
is_THD_below_nominal,0.0,0.0
dIc_dt,0.0,0.0
dIa_dt,0.0,0.0
Vb,0.0,0.0
Idiff_ab,0.0,0.0
Vc,0.0,0.0
Ia,0.0,0.0
Ib,0.0,0.0
Ic,0.0,0.0
Iref,0.0,0.0
Vmean,0.0,0.0
Vstd,0.0,0.0
Vdiff_ab,0.0,0.0
Vdiff_bc,0.0,0.0
Vdiff_ca,0.0,0.0
Imean,0.0,0.0
Istd,0.0,0.0
Idiff_bc,0.0,0.0
dVc_dt,0.0,0.0
Idiff_ca,0.0,0.0
Apparent_Power,0.0,0.0
Power_VaIa,0.0,0.0
Power_VbIb,0.0,0.0
Power_VcIc,0.0,0.0
Iref_error,0.0,0.0
Power_factor,0.0,0.0
Ia_Ib_ratio,0.0,0.0
Ib_Ic_ratio,0.0,0.0
Ic_Ia_ratio,0.0,0.0
dVa_dt,0.0,0.0
dVb_dt,0.0,0.0
is_current_surge,0.0,0.0
