,THD,Iref_error,Imean,Istd,Ib,Ic,Iref_rollmean,Ic_Ia_ratio,dImean_dt,dVc_dt,is_zero_Iref,dVb_dt,Ib_rollmean,Power_factor,dVa_dt,Apparent_Power,Power_VbIb,Vmean,Ic_rollstd,Vb_rollstd,Idiff_ca,dIa_dt,Va_rollstd,Ia_rollstd,Power_VcIc
THD,1.0,-0.0016756590878517262,0.0013982430808374502,0.004409135377157687,-0.3278209142674859,-0.2587850342857962,-0.5233750700479611,-0.008647507888904966,-0.00501443882444301,0.0024045305830819094,0.005145581364580603,0.00035331506565151606,-0.07591341117324142,-0.001474422475370109,-0.0021162507250524557,0.00032896654196341667,0.08014421852149181,0.009139824354613697,0.09257953956933947,-0.025006741597014534,-0.013709549983599337,-0.003075474658222356,0.02015824042806627,0.0028879012076728793,0.044426688762716035
Iref_error,-0.0016756590878517262,1.0,-0.4577259187211202,-0.06405292045427743,0.0028287681031303677,0.0031768524756882067,0.003308513094779489,-4.6644514734165294e-05,-0.0004205281044765903,-0.18515837654990958,0.0050370256265524875,0.3755264075792908,0.002323228090065707,-0.0005505765253148269,-0.1911884328312544,-0.0006766714592677266,-0.0002619568299629389,0.0062319642281745986,0.001618793838914749,0.0032058926035767425,-0.03566876768111751,-0.005561923834693455,0.00488973178117469,0.009660710031174753,0.01650619973535191
Imean,0.0013982430808374502,-0.4577259187211202,1.0,0.011142997001882914,0.033963066177817185,0.06552984769519617,-0.039041513694025066,-0.0006201197663626718,0.008159621261552626,0.001248712123730832,0.004420776920212915,-0.17297469517795694,0.03518002172559546,-0.0009575849689048065,0.17182130092953876,-0.0007782236342530483,-0.0075686401194614145,-0.006847105736439133,-0.03207115764859616,-0.005577854295213483,-0.42140149870430865,-0.008884941705576115,0.0036657310598623553,-0.04393060269961388,-0.09195493127969545
Istd,0.004409135377157687,-0.06405292045427743,0.011142997001882914,1.0,0.007371054933735544,0.005960234963979159,0.0026099171062821985,0.0003599137681265904,0.04454528941691597,0.023056701481832264,0.002983658357386496,0.020516408591356932,0.015396987188005815,0.0014235684569565454,0.00085854770215075,0.010940634258772697,-0.002174912748907345,0.007111144123417815,0.007137913675148359,0.004046083558438532,0.003973994338160994,0.01425260536068252,0.002703506610835739,0.0021860348830803713,0.002756281862368792
Ib,-0.3278209142674859,0.0028287681031303677,0.033963066177817185,0.007371054933735544,1.0,0.0670915157451822,-0.08824005703841599,0.0030794900370527778,0.015963296278725433,-0.027324081094375608,-0.001007776852092198,0.00458132574400948,0.9351071657267437,0.00017134498762867847,0.023715246750967377,0.01414407623092783,-0.44289599809306623,-0.00673122266532857,-0.1823666184967098,-0.05229656911378682,0.028641856091434235,0.004389394483350996,-0.011055605607027284,-0.25988331906936973,-0.07846030580302463
Ic,-0.2587850342857962,0.0031768524756882067,0.06552984769519617,0.005960234963979159,0.0670915157451822,1.0,-0.05828345840236112,0.004803464811472525,0.03544700894283304,-0.007270762550691967,-0.002634816416733292,0.007565666558831147,-0.02643285785425469,0.0006122821380356713,-0.003189271950338059,-0.013636218088437223,0.047240630206449294,-0.005329810679667745,-0.2526515003022816,-0.015700300841744917,0.12582864762486337,0.0026218376968775996,-0.018213400437059428,-0.35030043709370723,-0.2585867120748991
Iref_rollmean,-0.5233750700479611,0.003308513094779489,-0.039041513694025066,0.0026099171062821985,-0.08824005703841599,-0.05828345840236112,1.0,0.005705798543764296,0.0005433422863701717,-0.0031427165275586403,-0.0007270624250700487,0.0038172354261928605,-0.22276259562997913,0.0002624645356520555,-0.0027587990596397547,0.042207341034311036,0.3516856383806599,-0.004810355858792885,0.4654414939106529,0.1289622578304886,-0.011729568001996319,0.008279744035646495,0.004998644253888827,0.3821153581335197,0.33276117337547895
Ic_Ia_ratio,-0.008647507888904966,-4.6644514734165294e-05,-0.0006201197663626718,0.0003599137681265904,0.0030794900370527778,0.004803464811472525,0.005705798543764296,1.0,-0.0007893110733435041,0.0046289521828594745,0.002323126493128669,0.0030208516833669158,0.0002997406128671972,2.266834752132915e-06,-0.0014861922873449151,0.002292821804589545,0.0012951502807161093,-0.00019330930561428704,0.0004586549932112553,-0.006223508247331368,-0.0005899206850048796,0.00012992208000831075,0.0016997504432073533,0.0017751414392123705,0.0031935316422328905
dImean_dt,-0.00501443882444301,-0.0004205281044765903,0.008159621261552626,0.04454528941691597,0.015963296278725433,0.03544700894283304,0.0005433422863701717,-0.0007893110733435041,1.0,-8.759719426581368e-06,-0.0010372035921070745,0.0008001548452295092,0.0028653193940707975,7.910198302918249e-06,0.0016161212943488661,0.19249731560883568,0.00194932178908432,-0.002716348903733751,-0.00011871955900610478,0.0020416830769523307,0.002038276560108037,0.00034636258665516804,-0.0003274576942796178,0.003089422488243295,-0.028230529652004042
dVc_dt,0.0024045305830819094,-0.18515837654990958,0.001248712123730832,0.023056701481832264,-0.027324081094375608,-0.007270762550691967,-0.0031427165275586403,0.0046289521828594745,-8.759719426581368e-06,1.0,-0.001860569879300865,-0.5012475941087678,-0.031656484483138576,-0.0051130283897119115,-0.44925187029666286,-0.0012784027101285704,0.007029510690483585,0.000334732552773784,-0.005350000329728044,-0.003038439772882918,0.16740300464656546,0.007588774727160661,-0.0019610489891915043,-0.016792635278648143,0.003932735926913617
