Feature_1,Feature_2,Correlation,Abs_Correlation
is_zero_Iref,Va_rollstd,0.9948306390218307,0.9948306390218307
Ib,Ib_rollmean,0.9351071657267437,0.9351071657267437
THD,Iref_rollmean,-0.5233750700479611,0.5233750700479611
dVc_dt,dVb_dt,-0.5012475941087678,0.5012475941087678
Iref_rollmean,Ic_rollstd,0.4654414939106529,0.4654414939106529
Iref_error,Imean,-0.4577259187211202,0.4577259187211202
Ib_rollmean,Power_VbIb,-0.4510373659032852,0.4510373659032852
dVc_dt,dVa_dt,-0.44925187029666286,0.44925187029666286
Ib,Power_VbIb,-0.44289599809306623,0.44289599809306623
dVb_dt,dVa_dt,-0.44281910332264907,0.44281910332264907
Imean,Idiff_ca,-0.42140149870430865,0.42140149870430865
Ic_rollstd,Ia_rollstd,0.4174806565172525,0.4174806565172525
Iref_rollmean,Ia_rollstd,0.3821153581335197,0.3821153581335197
Iref_error,dVb_dt,0.3755264075792908,0.3755264075792908
Iref_rollmean,Power_VbIb,0.3516856383806599,0.3516856383806599
Ic,Ia_rollstd,-0.35030043709370723,0.35030043709370723
Iref_rollmean,Power_VcIc,0.33276117337547895,0.33276117337547895
THD,Ib,-0.3278209142674859,0.3278209142674859
Ib,Ia_rollstd,-0.25988331906936973,0.25988331906936973
THD,Ic,-0.2587850342857962,0.2587850342857962
Ic,Power_VcIc,-0.2585867120748991,0.2585867120748991
Ic,Ic_rollstd,-0.2526515003022816,0.2526515003022816
Power_VbIb,Ia_rollstd,0.22687943925138096,0.22687943925138096
Iref_rollmean,Ib_rollmean,-0.22276259562997913,0.22276259562997913
Power_VbIb,Power_VcIc,0.21518695271994023,0.21518695271994023
dImean_dt,Apparent_Power,0.19249731560883568,0.19249731560883568
Iref_error,dVa_dt,-0.1911884328312544,0.1911884328312544
Power_VbIb,Ic_rollstd,0.18922681251128487,0.18922681251128487
Iref_error,dVc_dt,-0.18515837654990958,0.18515837654990958
Ib,Ic_rollstd,-0.1823666184967098,0.1823666184967098
Ia_rollstd,Power_VcIc,0.17774957621409063,0.17774957621409063
Ib_rollmean,Ia_rollstd,-0.17397000233009907,0.17397000233009907
Imean,dVb_dt,-0.17297469517795694,0.17297469517795694
Imean,dVa_dt,0.17182130092953876,0.17182130092953876
dVc_dt,Idiff_ca,0.16740300464656546,0.16740300464656546
dVa_dt,Idiff_ca,-0.15921885716390716,0.15921885716390716
Ic_rollstd,Power_VcIc,0.1539699229315769,0.1539699229315769
Iref_rollmean,Vb_rollstd,0.1289622578304886,0.1289622578304886
Ic,Idiff_ca,0.12582864762486337,0.12582864762486337
Vb_rollstd,Ia_rollstd,0.12149004934673521,0.12149004934673521
Ic_rollstd,Vb_rollstd,0.1006229481651933,0.1006229481651933
Power_factor,dIa_dt,0.10002646971856234,0.10002646971856234
Vb_rollstd,Power_VcIc,0.09381644166424194,0.09381644166424194
THD,Ic_rollstd,0.09257953956933947,0.09257953956933947
Imean,Power_VcIc,-0.09195493127969545,0.09195493127969545
Apparent_Power,Ic_rollstd,0.09007805545714086,0.09007805545714086
Ib,Iref_rollmean,-0.08824005703841599,0.08824005703841599
Ib_rollmean,Ic_rollstd,-0.08510021703597138,0.08510021703597138
THD,Power_VbIb,0.08014421852149181,0.08014421852149181
Ib,Power_VcIc,-0.07846030580302463,0.07846030580302463
Ib_rollmean,Power_VcIc,-0.07757749419565815,0.07757749419565815
THD,Ib_rollmean,-0.07591341117324142,0.07591341117324142
Ib,Ic,0.0670915157451822,0.0670915157451822
Imean,Ic,0.06552984769519617,0.06552984769519617
Iref_error,Istd,-0.06405292045427743,0.06405292045427743
Ic,Iref_rollmean,-0.05828345840236112,0.05828345840236112
Ib_rollmean,Vb_rollstd,-0.0572318935515123,0.0572318935515123
Ib,Vb_rollstd,-0.05229656911378682,0.05229656911378682
Power_VbIb,Idiff_ca,-0.049616987823186604,0.049616987823186604
Ic,Power_VbIb,0.047240630206449294,0.047240630206449294
Istd,dImean_dt,0.04454528941691597,0.04454528941691597
THD,Power_VcIc,0.044426688762716035,0.044426688762716035
Imean,Ia_rollstd,-0.04393060269961388,0.04393060269961388
Vb_rollstd,Va_rollstd,-0.04291513229741182,0.04291513229741182
Iref_rollmean,Apparent_Power,0.042207341034311036,0.042207341034311036
Imean,Iref_rollmean,-0.039041513694025066,0.039041513694025066
Ib_rollmean,Idiff_ca,0.038909575958492676,0.038909575958492676
Power_VbIb,Vb_rollstd,0.036559636855084524,0.036559636855084524
Iref_error,Idiff_ca,-0.03566876768111751,0.03566876768111751
Ic,dImean_dt,0.03544700894283304,0.03544700894283304
Imean,Ib_rollmean,0.03518002172559546,0.03518002172559546
Imean,Ib,0.033963066177817185,0.033963066177817185
Va_rollstd,Ia_rollstd,0.033162285945236715,0.033162285945236715
Imean,Ic_rollstd,-0.03207115764859616,0.03207115764859616
Apparent_Power,Ia_rollstd,0.03206125319378237,0.03206125319378237
dVc_dt,Ib_rollmean,-0.031656484483138576,0.031656484483138576
is_zero_Iref,dIa_dt,0.02947573580028586,0.02947573580028586
dIa_dt,Va_rollstd,0.029369490685398937,0.029369490685398937
Ib,Idiff_ca,0.028641856091434235,0.028641856091434235
dImean_dt,Power_VcIc,-0.028230529652004042,0.028230529652004042
Ib,dVc_dt,-0.027324081094375608,0.027324081094375608
Ic,Ib_rollmean,-0.02643285785425469,0.02643285785425469
Ib_rollmean,dVa_dt,0.025572872706592465,0.025572872706592465
THD,Vb_rollstd,-0.025006741597014534,0.025006741597014534
Ib,dVa_dt,0.023715246750967377,0.023715246750967377
Istd,dVc_dt,0.023056701481832264,0.023056701481832264
Apparent_Power,Vb_rollstd,0.022980036825257875,0.022980036825257875
dVb_dt,Ia_rollstd,0.02262128779872451,0.02262128779872451
Idiff_ca,Power_VcIc,-0.02251650788814388,0.02251650788814388
Ic_rollstd,Va_rollstd,0.021920377605645563,0.021920377605645563
Istd,dVb_dt,0.020516408591356932,0.020516408591356932
THD,Va_rollstd,0.02015824042806627,0.02015824042806627
Ib_rollmean,Apparent_Power,0.018746254804572867,0.018746254804572867
Ic,Va_rollstd,-0.018213400437059428,0.018213400437059428
Ic_rollstd,Idiff_ca,-0.018112428997912173,0.018112428997912173
dVa_dt,Power_VcIc,-0.017133865638516304,0.017133865638516304
dVc_dt,Ia_rollstd,-0.016792635278648143,0.016792635278648143
Iref_error,Power_VcIc,0.01650619973535191,0.01650619973535191
Ib,dImean_dt,0.015963296278725433,0.015963296278725433
Ic,Vb_rollstd,-0.015700300841744917,0.015700300841744917
Idiff_ca,dIa_dt,0.01549082966519494,0.01549082966519494
Istd,Ib_rollmean,0.015396987188005815,0.015396987188005815
Istd,dIa_dt,0.01425260536068252,0.01425260536068252
Ib,Apparent_Power,0.01414407623092783,0.01414407623092783
THD,Idiff_ca,-0.013709549983599337,0.013709549983599337
Ic,Apparent_Power,-0.013636218088437223,0.013636218088437223
Vmean,Idiff_ca,0.013258701413012313,0.013258701413012313
Iref_rollmean,Idiff_ca,-0.011729568001996319,0.011729568001996319
Imean,Istd,0.011142997001882914,0.011142997001882914
Ib,Va_rollstd,-0.011055605607027284,0.011055605607027284
Istd,Apparent_Power,0.010940634258772697,0.010940634258772697
Power_VbIb,Va_rollstd,0.010730175786218363,0.010730175786218363
Va_rollstd,Power_VcIc,0.010593720908561352,0.010593720908561352
dVb_dt,Power_VcIc,0.010536740174129042,0.010536740174129042
Iref_error,Ia_rollstd,0.009660710031174753,0.009660710031174753
dVa_dt,Power_VbIb,-0.009631241996359497,0.009631241996359497
dVb_dt,Idiff_ca,-0.009596525100208276,0.009596525100208276
THD,Vmean,0.009139824354613697,0.009139824354613697
Apparent_Power,Idiff_ca,0.009085546819299533,0.009085546819299533
Imean,dIa_dt,-0.008884941705576115,0.008884941705576115
Vb_rollstd,dIa_dt,-0.008773711338372302,0.008773711338372302
THD,Ic_Ia_ratio,-0.008647507888904966,0.008647507888904966
Ic_rollstd,dIa_dt,0.008515490996752126,0.008515490996752126
dVb_dt,Ib_rollmean,0.008288268780385917,0.008288268780385917
Iref_rollmean,dIa_dt,0.008279744035646495,0.008279744035646495
is_zero_Iref,Vb_rollstd,-0.008247856979325206,0.008247856979325206
Imean,dImean_dt,0.008159621261552626,0.008159621261552626
dVa_dt,Ia_rollstd,-0.007708817754498812,0.007708817754498812
dVc_dt,dIa_dt,0.007588774727160661,0.007588774727160661
Imean,Power_VbIb,-0.0075686401194614145,0.0075686401194614145
Ic,dVb_dt,0.007565666558831147,0.007565666558831147
Istd,Ib,0.007371054933735544,0.007371054933735544
Ic,dVc_dt,-0.007270762550691967,0.007270762550691967
Istd,Ic_rollstd,0.007137913675148359,0.007137913675148359
Istd,Vmean,0.007111144123417815,0.007111144123417815
dVc_dt,Power_VbIb,0.007029510690483585,0.007029510690483585
Imean,Vmean,-0.006847105736439133,0.006847105736439133
Ib,Vmean,-0.00673122266532857,0.00673122266532857
Iref_error,Vmean,0.0062319642281745986,0.0062319642281745986
Ic_Ia_ratio,Vb_rollstd,-0.006223508247331368,0.006223508247331368
Istd,Ic,0.005960234963979159,0.005960234963979159
is_zero_Iref,Ic_rollstd,0.005844068206152054,0.005844068206152054
Iref_rollmean,Ic_Ia_ratio,0.005705798543764296,0.005705798543764296
Imean,Vb_rollstd,-0.005577854295213483,0.005577854295213483
Iref_error,dIa_dt,-0.005561923834693455,0.005561923834693455
Vmean,Vb_rollstd,0.005544653299998471,0.005544653299998471
dVa_dt,dIa_dt,-0.005533715752244593,0.005533715752244593
dVc_dt,Ic_rollstd,-0.005350000329728044,0.005350000329728044
Ic,Vmean,-0.005329810679667745,0.005329810679667745
Power_factor,dVa_dt,0.0053168221836455785,0.0053168221836455785
