Feature,PI_Mean,MI_Score
THD,0.001875,0.105150923993553
Iref_error,0.0008083333333332,0.2776495975183318
Imean,0.0004583333333333,0.2743597515387239
Istd,0.0002999999999999,0.1961081101318855
Ib,0.0002249999999999,0.2165559447260931
Ic,0.0002249999999999,0.2184002681249661
Iref_rollmean,0.0002083333333333,0.2230678154855463
Ic_Ia_ratio,0.0001499999999999,0.0215273297481775
dImean_dt,0.0001166666666666,0.3192390251225036
dVc_dt,0.0001166666666666,0.0550893419503295
is_zero_Iref,0.0001083333333332,0.0137028700164452
dVb_dt,9.999999999994456e-05,0.0429001057189841
Ib_rollmean,9.166666666664549e-05,0.260985748022041
Power_factor,6.666666666663713e-05,0.0001980132282084
dVa_dt,6.666666666663713e-05,0.0531182940657648
Apparent_Power,5.83333333332936e-05,0.3215592901113266
Power_VbIb,5.83333333332936e-05,0.196465572523345
Vmean,4.999999999997229e-05,0.1882692884215049
Ic_rollstd,4.999999999995008e-05,0.1225031346721012
Vb_rollstd,4.166666666665098e-05,0.0542082195024968
Idiff_ca,4.166666666662877e-05,0.1219667975789375
dIa_dt,4.1666666666606567e-05,0.0056027956471227
Va_rollstd,3.333333333328525e-05,0.0267884999644556
Ia_rollstd,3.333333333328525e-05,0.1169226943518604
Power_VcIc,2.4999999999986144e-05,0.1920124014211615
