params,quantum_cost,accuracy,f1_score,selected_features,backend,timestamp,quantum_time,mlp_time,total_time
"{'k': 6, 'lambda': 0.5, 'mu': 0.3, 'gamma': 0.05}",15.78531704764532,0.84375,0.8452554178915466,"Power_factor,Va_rollstd,dIa_dt,is_zero_Iref,Ia_rollstd,dVa_dt",ibm_sherbrooke,2025-06-22T02:54:06.375595,145.2049901485443,26.824395179748535,195.16041111946106
"{'k': 6, 'lambda': 0.5, 'mu': 0.3, 'gamma': 0.1}",31.534458488697613,0.84375,0.8452554178915466,"Power_factor,Va_rollstd,dIa_dt,is_zero_Iref,Ia_rollstd,dVa_dt",ibm_sherbrooke,2025-06-22T02:57:14.181168,140.05336332321167,27.167508602142334,187.8007049560547
"{'k': 6, 'lambda': 0.5, 'mu': 0.3, 'gamma': 0.15}",47.10986980383492,0.84375,0.8452554178915466,"Power_factor,Va_rollstd,dIa_dt,is_zero_Iref,Ia_rollstd,dVa_dt",ibm_sherbrooke,2025-06-22T05:11:20.954083,146.71739840507507,25.15002703666687,189.89870715141296
"{'k': 6, 'lambda': 0.5, 'mu': 0.5, 'gamma': 0.05}",15.667936514600047,0.84375,0.8452554178915466,"Power_factor,Va_rollstd,dIa_dt,is_zero_Iref,Ia_rollstd,dVa_dt",ibm_sherbrooke,2025-06-22T05:14:35.391767,141.3687572479248,30.278827667236328,194.43519401550293
"{'k': 6, 'lambda': 0.5, 'mu': 0.5, 'gamma': 0.1}",31.528055344503333,0.84375,0.8452554178915466,"Power_factor,Va_rollstd,dIa_dt,is_zero_Iref,Ia_rollstd,dVa_dt",ibm_sherbrooke,2025-06-22T05:17:45.086959,139.26809358596802,26.114405632019043,189.69172143936157
"{'k': 6, 'lambda': 0.5, 'mu': 0.5, 'gamma': 0.15}",47.08122143134499,0.84375,0.8452554178915466,"Power_factor,Va_rollstd,dIa_dt,is_zero_Iref,Ia_rollstd,dVa_dt",ibm_sherbrooke,2025-06-22T05:21:00.488909,144.40830183029175,23.8775417804718,195.3999147415161
"{'k': 6, 'lambda': 0.5, 'mu': 0.7, 'gamma': 0.05}",14.441056253511045,0.84375,0.8452554178915466,"Power_factor,Va_rollstd,dIa_dt,is_zero_Iref,Ia_rollstd,dVa_dt",ibm_brisbane,2025-06-22T05:24:35.796767,143.27365016937256,21.74313473701477,215.3059058189392
"{'k': 6, 'lambda': 0.5, 'mu': 0.7, 'gamma': 0.1}",31.53106442318125,0.84375,0.8452554178915466,"Power_factor,Va_rollstd,dIa_dt,is_zero_Iref,Ia_rollstd,dVa_dt",ibm_sherbrooke,2025-06-22T05:27:46.620572,139.71998739242554,24.399916410446167,190.82113909721375
"{'k': 6, 'lambda': 0.5, 'mu': 0.7, 'gamma': 0.15}",43.192105264630534,0.84375,0.8452554178915466,"Power_factor,Va_rollstd,dIa_dt,is_zero_Iref,Ia_rollstd,dVa_dt",ibm_brisbane,2025-06-22T05:30:48.166507,139.30301237106323,20.917235851287842,181.54300498962402
"{'k': 6, 'lambda': 1.0, 'mu': 0.3, 'gamma': 0.05}",15.92803384048634,0.896375,0.862293445969575,"Power_factor,Va_rollstd,dIa_dt,is_zero_Iref,Ia_rollstd,dVa_dt",ibm_sherbrooke,2025-06-22T05:32:51.637724,77.51804947853088,21.829554557800293,123.46926093101501
