GRID SEARCH SUMMARY REPORT
==================================================
Generated: 2025-06-27 10:30:06

PROGRESS:
  Total combinations: 135
  Completed: 115
  Remaining: 20
  Progress: 85.2%

BEST RESULT:
  Accuracy: 0.9731
  F1 Score: 0.9724
  Parameters: k=10, lambda=0.5, mu=0.3, gamma=0.05
  Backend: ibm_brisbane
  Total Time: 977.2 seconds

ALL RESULTS:
  1. k=6, lambda=0.5, mu=0.3, gamma=0.05 | Acc=0.8438, F1=0.8453 | Time=195.2s | ibm_sherbrooke
  2. k=6, lambda=0.5, mu=0.3, gamma=0.1 | Acc=0.8438, F1=0.8453 | Time=187.8s | ibm_sherbrooke
  3. k=6, lambda=0.5, mu=0.3, gamma=0.15 | Acc=0.8438, F1=0.8453 | Time=189.9s | ibm_sherbrooke
  4. k=6, lambda=0.5, mu=0.5, gamma=0.05 | Acc=0.8438, F1=0.8453 | Time=194.4s | ibm_sherbrooke
  5. k=6, lambda=0.5, mu=0.5, gamma=0.1 | Acc=0.8438, F1=0.8453 | Time=189.7s | ibm_sherbrooke
  6. k=6, lambda=0.5, mu=0.5, gamma=0.15 | Acc=0.8438, F1=0.8453 | Time=195.4s | ibm_sherbrooke
  7. k=6, lambda=0.5, mu=0.7, gamma=0.05 | Acc=0.8438, F1=0.8453 | Time=215.3s | ibm_brisbane
  8. k=6, lambda=0.5, mu=0.7, gamma=0.1 | Acc=0.8438, F1=0.8453 | Time=190.8s | ibm_sherbrooke
  9. k=6, lambda=0.5, mu=0.7, gamma=0.15 | Acc=0.8438, F1=0.8453 | Time=181.5s | ibm_brisbane
  10. k=6, lambda=1.0, mu=0.3, gamma=0.05 | Acc=0.8964, F1=0.8623 | Time=123.5s | ibm_sherbrooke
  11. k=6, lambda=1.0, mu=0.3, gamma=0.1 | Acc=0.8438, F1=0.8453 | Time=189.8s | ibm_sherbrooke
  12. k=6, lambda=1.0, mu=0.3, gamma=0.15 | Acc=0.8438, F1=0.8453 | Time=196.2s | ibm_sherbrooke
  13. k=6, lambda=1.0, mu=0.5, gamma=0.05 | Acc=0.8438, F1=0.8453 | Time=236.1s | ibm_sherbrooke
  14. k=6, lambda=1.0, mu=0.5, gamma=0.1 | Acc=0.8438, F1=0.8453 | Time=192.0s | ibm_sherbrooke
  15. k=6, lambda=1.0, mu=0.5, gamma=0.15 | Acc=0.8438, F1=0.8453 | Time=2034.1s | ibm_brisbane
