,THD,Iref_error,Imean,Istd,Ib,Ic,Iref_rollmean,Ic_Ia_ratio,dImean_dt,dVc_dt,is_zero_Iref,dVb_dt,Ib_rollmean,Power_factor,dVa_dt,Apparent_Power,Power_VbIb,Vmean,Ic_rollstd,Vb_rollstd,Idiff_ca,dIa_dt,Va_rollstd,Ia_rollstd,Power_VcIc
THD,-0.9498694309920404,0.1011729613614962,0.09902122984341383,0.09691360523598969,0.32947463998724014,0.2811495240000573,0.46636254903357277,0.10605325552223344,0.10351010717711011,0.09831682859184268,0.09639809304479359,0.09975267945404395,0.15313938782126899,0.10103209573275908,0.10148137550753669,0.09976972342062562,0.04389904703495575,0.09360212295177049,0.035194322301462425,0.11750471911791016,0.10959668498851952,0.10215283226075561,0.08588923170035366,0.09797846915462904,0.06890131786609881
Iref_error,0.1011729613614962,-0.9498370485564629,0.42040814310478414,0.14483704431799418,0.0980198623278088,0.09777620326701826,0.09768404083365442,0.10003265116031392,0.10029436967313356,0.22961086358493665,0.09647408206141332,-0.16286848530550355,0.09837374033695402,0.10038540356772037,0.23383190298187806,0.1004736700214874,0.10018336978097403,0.09563762504027785,0.09886684431275972,0.09775587517749632,0.12496813737678225,0.10389334668428539,0.09657718775317778,0.09323750297817772,0.08844566018525368
Imean,0.09902122984341383,0.42040814310478414,-0.9499227051960353,0.09219990209868198,0.07622585367552803,0.05412910661336274,0.1273290595858175,0.10043408383645383,0.09428826511691318,0.09912590151338845,0.09690545615585097,0.22108228662456983,0.07537398479208322,0.10067030947823337,-0.020274910650677075,0.10054475654397711,0.10529804808362299,0.10479297401550737,0.12244981035401728,0.10390449800664939,0.394981049093016,0.10621945919390327,0.09743398825809639,0.13075142188972966,0.16436845189578678
Istd,0.09691360523598969,0.14483704431799418,0.09219990209868198,-0.9497754233964615,0.09484026154638515,0.09582783552521464,0.09817305802560254,0.09974806036231146,0.06881829740815888,0.08386030896271747,0.09791143914982953,0.08563851398605017,0.08922210896839594,0.09900350208013045,0.09939901660849451,0.09234155601885918,0.10152243892423511,0.09502219911360754,0.0950034604273962,0.09716774150909306,0.09721820396328737,0.09002317624752226,0.09810754537241502,0.09846977558184379,0.09807060269634192
Ib,0.32947463998724014,0.0980198623278088,0.07622585367552803,0.09484026154638515,-0.9499813964613164,0.05303593897837247,0.16176803992689115,0.09784435697406312,0.08882569260489223,0.11912685676606292,0.10070544379646447,0.09679307197919343,-0.5545750160087205,0.09988005850865998,0.08339932727432289,0.09009914663835054,0.41002719866514636,0.10471185586572995,0.22765663294769686,0.13660759837965075,0.07995070073599607,0.09692742386165437,0.10773892392491904,0.28191832334855876,0.15492221406211723
Ic,0.2811495240000573,0.09777620326701826,0.05412910661336274,0.09582783552521464,0.05303593897837247,-0.9499699796668191,0.14079842088165279,0.09663757463196926,0.0751870937400169,0.10508953378548433,0.10184437149171324,0.09470403340881824,0.11850300049797823,0.09957140250337508,0.1022324903652366,0.10954535266190604,0.06693155885548557,0.1037308674757674,0.2768560502115971,0.11099021058922143,0.011919946662595715,0.09816471361218576,0.11274938030594159,0.345210305965595,0.2810106984524293
Iref_rollmean,0.46636254903357277,0.09768404083365442,0.1273290595858175,0.09817305802560254,0.16176803992689115,0.14079842088165279,-0.9499827083724302,0.09600594101936506,0.09961966039954094,0.10219990156929103,0.10050894369754901,0.09732793520166505,0.2559338169409854,0.0998162748250436,0.10193115934174779,0.0704548612759823,-0.1461799468664619,0.10336724910115497,-0.225809045737457,0.009726419518657992,0.10821069760139741,0.09420417917504753,0.09650094902227785,-0.16748075069346377,-0.1329328213628352
Ic_Ia_ratio,0.10605325552223344,0.10003265116031392,0.10043408383645383,0.09974806036231146,0.09784435697406312,0.09663757463196926,0.09600594101936506,-0.9499398286786284,0.10055251775134046,0.09675973347199843,0.09837381145480999,0.09788540382164318,0.09979018157099304,0.09999841321567352,0.10104033460114144,0.09839502473678735,0.09909339480349874,0.10013531651392994,0.09967894150475216,0.10435645577313192,0.10041294447950337,0.0999090545439942,0.09881017468975489,0.0987574009925514,0.09776452785043704
dImean_dt,0.10351010717711011,0.10029436967313356,0.09428826511691318,0.06881829740815888,0.08882569260489223,0.0751870937400169,0.09961966039954094,0.10055251775134046,-0.9498937611453837,0.10000613180359862,0.10072604251447491,0.09943989160833935,0.09799427642415051,0.09999446286118796,0.09886871509395584,-0.0347481209261849,0.09863547474764099,0.10190144423261359,0.10008310369130427,0.0985708218461334,0.0985732064079244,0.09975754618934143,0.10022922038599573,0.09783740425822976,0.11976137075640281
dVc_dt,0.09831682859184268,0.22961086358493665,0.09912590151338845,0.08386030896271747,0.11912685676606292,0.10508953378548433,0.10219990156929103,0.09675973347199843,0.10000613180359862,-0.9499955920942593,0.10130239891551057,0.45087331587613744,0.12215953913819695,0.10357911987279833,0.414476309207664,0.10089488189708995,0.09507934251666156,0.09976568721305841,0.10374500023080961,0.10212690784101804,-0.017182103252595768,0.09468785769098759,0.10137273429243406,0.11175484469505367,0.09724708485116049
is_zero_Iref,0.09639809304479359,0.09647408206141332,0.09690545615585097,0.09791143914982953,0.10070544379646447,0.10184437149171324,0.10050894369754901,0.09837381145480999,0.10072604251447491,0.10130239891551057,-0.9499986298857399,0.0986309491554715,0.0998108718790124,0.09791371954912678,0.10002533421565156,0.09940428819653911,0.10001478894204786,0.10333382580527102,0.0959091522556936,0.10577349988552764,0.10271737336171477,0.07936698493979995,-0.5963814473152815,0.0984509549227964,0.09935472454631918
dVb_dt,0.09975267945404395,-0.16286848530550355,0.22108228662456983,0.08563851398605017,0.09679307197919343,0.09470403340881824,0.09732793520166505,0.09788540382164318,0.09943989160833935,0.45087331587613744,0.0986309491554715,-0.949997317291194,0.09419821185372988,0.09934575813076227,0.4099733723258543,0.10162806225400449,0.10012537376656232,0.09812572940551281,0.09853216763473606,0.09933637878162653,0.10671756757014575,0.10102587852696701,0.09840051360107442,0.08416509854089285,0.0926242818781097
Ib_rollmean,0.15313938782126899,0.09837374033695402,0.07537398479208322,0.08922210896839594,-0.5545750160087205,0.11850300049797823,0.2559338169409854,0.09979018157099304,0.09799427642415051,0.12215953913819695,0.0998108718790124,0.09419821185372988,-0.949989569293678,0.10045017163455272,0.08209898910538532,0.08687762163679905,0.4157261561322996,0.1027623609606745,0.15957015192517993,0.14006232548605863,0.07276329682905519,0.0977957760309226,0.1008421779397946,0.22177900163106928,0.15430424593696068
Power_factor,0.10103209573275908,0.10038540356772037,0.10067030947823337,0.09900350208013045,0.09988005850865998,0.09957140250337508,0.0998162748250436,0.09999841321567352,0.09999446286118796,0.10357911987279833,0.09791371954912678,0.09934575813076227,0.10045017163455272,-0.9499998979203474,0.09627822447144815,0.09996637534768077,0.10019297174864311,0.10003007163931812,0.09946149347037209,0.09872971159550077,0.09893074986115298,0.029981471197006407,0.09783149268115458,0.10030652231324884,0.09941995888458799
dVa_dt,0.10148137550753669,0.23383190298187806,-0.020274910650677075,0.09939901660849451,0.08339932727432289,0.1022324903652366,0.10193115934174779,0.10104033460114144,0.09886871509395584,0.414476309207664,0.10002533421565156,0.4099733723258543,0.08209898910538532,0.09627822447144815,-0.9499976878049969,0.10311795269397298,0.10674186939745159,0.10183534826588317,0.09792376967989928,0.10011620438735683,0.21145320001473497,0.10387360102657116,0.10025094095853107,0.10539617242814917,0.11199370594696141
Apparent_Power,0.09976972342062562,0.1004736700214874,0.10054475654397711,0.09234155601885918,0.09009914663835054,0.10954535266190604,0.0704548612759823,0.09839502473678735,-0.0347481209261849,0.10089488189708995,0.09940428819653911,0.10162806225400449,0.08687762163679905,0.09996637534768077,0.10311795269397298,-0.9499603075355694,0.09767439564407467,0.10345004570928361,0.036945361180001454,0.08391397422231955,0.09364011722649035,0.1000490915851061,0.0985163994281436,0.07755712276435239,0.10190580823573203
Power_VbIb,0.04389904703495575,0.10018336978097403,0.10529804808362299,0.10152243892423511,0.41002719866514636,0.06693155885548557,-0.1461799468664619,0.09909339480349874,0.09863547474764099,0.09507934251666156,0.10001478894204786,0.10012537376656232,0.4157261561322996,0.10019297174864311,0.10674186939745159,0.09767439564407467,-0.9499946393659612,0.09889592600036881,-0.032458768757899326,0.07440825420144086,0.13473189147623063,0.09901404225356032,0.09248887694964719,-0.05881560747596662,-0.05063086690395813
Vmean,0.09360212295177049,0.09563762504027785,0.10479297401550737,0.09502219911360754,0.10471185586572995,0.1037308674757674,0.10336724910115497,0.10013531651392994,0.10190144423261359,0.09976568721305841,0.10333382580527102,0.09812572940551281,0.1027623609606745,0.10003007163931812,0.10183534826588317,0.10345004570928361,0.09889592600036881,-0.9499050549272439,0.09974547375212844,0.09611874269000112,0.0907189090108914,0.1001930231248902,0.10310576075995018,0.09632888273286346,0.10001365109946982
Ic_rollstd,0.035194322301462425,0.09886684431275972,0.12244981035401728,0.0950034604273962,0.22765663294769686,0.2768560502115971,-0.225809045737457,0.09967894150475216,0.10008310369130427,0.10374500023080961,0.0959091522556936,0.09853216763473606,0.15957015192517993,0.09946149347037209,0.09792376967989928,0.036945361180001454,-0.032458768757899326,0.09974547375212844,-0.9499971335729844,0.02956393628436471,0.11267870029853848,0.09403915630227354,0.08465573567604816,-0.19223645956207672,-0.00777894605210383
Vb_rollstd,0.11750471911791016,0.09775587517749632,0.10390449800664939,0.09716774150909306,0.13660759837965075,0.11099021058922143,0.009726419518657992,0.10435645577313192,0.0985708218461334,0.10212690784101804,0.10577349988552764,0.09933637878162653,0.14006232548605863,0.09872971159550077,0.10011620438735683,0.08391397422231955,0.07440825420144086,0.09611874269000112,0.02956393628436471,-0.9499969776083738,0.09992744304723619,0.10614159793686062,0.13004059260818826,0.014956965457285365,0.03432849083503069
Idiff_ca,0.10959668498851952,0.12496813737678225,0.394981049093016,0.09721820396328737,0.07995070073599607,0.011919946662595715,0.10821069760139741,0.10041294447950337,0.0985732064079244,-0.017182103252595768,0.10271737336171477,0.10671756757014575,0.07276329682905519,0.09893074986115298,0.21145320001473497,0.09364011722649035,0.13473189147623063,0.0907189090108914,0.11267870029853848,0.09992744304723619,-0.9499956239466089,0.08915641923436357,0.10273180313290277,0.10357153865542902,0.11576155552170067
dIa_dt,0.10215283226075561,0.10389334668428539,0.10621945919390327,0.09002317624752226,0.09692742386165437,0.09816471361218576,0.09420417917504753,0.0999090545439942,0.09975754618934143,0.09468785769098759,0.07936698493979995,0.10102587852696701,0.0977957760309226,0.029981471197006407,0.10387360102657116,0.1000490915851061,0.09901404225356032,0.1001930231248902,0.09403915630227354,0.10614159793686062,0.08915641923436357,-0.9499991109716488,0.07944135652022077,0.10259587183870651,0.09986265156143434
Va_rollstd,0.08588923170035366,0.09657718775317778,0.09743398825809639,0.09810754537241502,0.10773892392491904,0.11274938030594159,0.09650094902227785,0.09881017468975489,0.10022922038599573,0.10137273429243406,-0.5963814473152815,0.09840051360107442,0.1008421779397946,0.09783149268115458,0.10025094095853107,0.0985163994281436,0.09248887694964719,0.10310576075995018,0.08465573567604816,0.13004059260818826,0.10273180313290277,0.07944135652022077,-0.9499992743772873,0.07678639983833432,0.0925843953640071
Ia_rollstd,0.09797846915462904,0.09323750297817772,0.13075142188972966,0.09846977558184379,0.28191832334855876,0.345210305965595,-0.16748075069346377,0.0987574009925514,0.09783740425822976,0.11175484469505367,0.0984509549227964,0.08416509854089285,0.22177900163106928,0.10030652231324884,0.10539617242814917,0.07755712276435239,-0.05881560747596662,0.09632888273286346,-0.19223645956207672,0.014956965457285365,0.10357153865542902,0.10259587183870651,0.07678639983833432,-0.949998307271896,-0.024424703349863408
Power_VcIc,0.06890131786609881,0.08844566018525368,0.16436845189578678,0.09807060269634192,0.15492221406211723,0.2810106984524293,-0.1329328213628352,0.09776452785043704,0.11976137075640281,0.09724708485116049,0.09935472454631918,0.0926242818781097,0.15430424593696068,0.09941995888458799,0.11199370594696141,0.10190580823573203,-0.05063086690395813,0.10001365109946982,-0.00777894605210383,0.03432849083503069,0.11576155552170067,0.09986265156143434,0.0925843953640071,-0.024424703349863408,-0.9499970811314896
