,THD,Iref_error,Imean,Istd,Ib,Ic,Iref_rollmean,Ic_Ia_ratio,dImean_dt,dVc_dt,is_zero_Iref,dVb_dt,Ib_rollmean,Power_factor,dVa_dt,Apparent_Power,Power_VbIb,Vmean,Ic_rollstd,Vb_rollstd,Idiff_ca,dIa_dt,Va_rollstd,Ia_rollstd,Power_VcIc
THD,-2.8498041464880606,0.3011729613614962,0.2990212298434138,0.29691360523598964,0.5294746399872401,0.4811495240000573,0.6663625490335727,0.3060532555222334,0.3035101071771101,0.29831682859184266,0.2963980930447936,0.29975267945404394,0.35313938782126897,0.3010320957327591,0.3014813755075367,0.29976972342062563,0.24389904703495574,0.29360212295177046,0.23519432230146242,0.3175047191179101,0.3095966849885195,0.3021528322607556,0.28588923170035363,0.29797846915462906,0.2689013178660988
Iref_error,0.3011729613614962,-2.8497555728346944,0.6204081431047841,0.34483704431799417,0.2980198623278088,0.29777620326701826,0.2976840408336544,0.3000326511603139,0.30029436967313355,0.4296108635849366,0.2964740820614133,0.03713151469449644,0.298373740336954,0.30038540356772037,0.433831902981878,0.3004736700214874,0.30018336978097404,0.29563762504027785,0.29886684431275967,0.2977558751774963,0.32496813737678226,0.30389334668428536,0.29657718775317776,0.2932375029781777,0.28844566018525364
Imean,0.2990212298434138,0.6204081431047841,-2.849884057794053,0.29219990209868196,0.27622585367552804,0.25412910661336274,0.3273290595858175,0.3004340838364538,0.2942882651169132,0.2991259015133884,0.29690545615585096,0.4210822866245698,0.2753739847920832,0.30067030947823337,0.1797250893493229,0.3005447565439771,0.305298048083623,0.30479297401550737,0.32244981035401726,0.30390449800664937,0.594981049093016,0.30621945919390325,0.29743398825809636,0.33075142188972967,0.36436845189578676
Istd,0.29691360523598964,0.34483704431799417,0.29219990209868196,-2.8496631350946924,0.29484026154638515,0.29582783552521463,0.2981730580256025,0.29974806036231144,0.2688182974081589,0.28386030896271747,0.2979114391498295,0.28563851398605017,0.28922210896839595,0.29900350208013043,0.2993990166084945,0.2923415560188592,0.3015224389242351,0.29502219911360755,0.29500346042739617,0.29716774150909303,0.29721820396328735,0.2900231762475222,0.298107545372415,0.2984697755818438,0.2980706026963419
Ib,0.5294746399872401,0.2980198623278088,0.27622585367552804,0.29484026154638515,-2.849972094691975,0.25303593897837245,0.3617680399268911,0.2978443569740631,0.2888256926048922,0.3191268567660629,0.30070544379646447,0.2967930719791934,-0.3545750160087205,0.29988005850865995,0.2833993272743229,0.2900991466383505,0.6100271986651463,0.30471185586572996,0.42765663294769685,0.33660759837965076,0.27995070073599604,0.2969274238616544,0.30773892392491903,0.4819183233485588,0.3549222140621172
Ic,0.4811495240000573,0.29777620326701826,0.25412910661336274,0.29582783552521463,0.25303593897837245,-2.8499549695002284,0.34079842088165274,0.2966375746319692,0.2751870937400169,0.3050895337854843,0.3018443714917132,0.29470403340881823,0.3185030004979782,0.29957140250337505,0.3022324903652366,0.309545352661906,0.2669315588554856,0.3037308674757674,0.4768560502115971,0.31099021058922144,0.2119199466625957,0.2981647136121857,0.31274938030594157,0.545210305965595,0.48101069845242933
Iref_rollmean,0.6663625490335727,0.2976840408336544,0.3273290595858175,0.2981730580256025,0.3617680399268911,0.34079842088165274,-2.8499740625586454,0.29600594101936506,0.2996196603995409,0.302199901569291,0.300508943697549,0.297327935201665,0.45593381694098534,0.2998162748250436,0.3019311593417478,0.2704548612759823,0.053820053133538076,0.3033672491011549,-0.025809045737457015,0.20972641951865797,0.3082106976013974,0.2942041791750475,0.2965009490222778,0.03251924930653621,0.06706717863716477
Ic_Ia_ratio,0.3060532555222334,0.3000326511603139,0.3004340838364538,0.29974806036231144,0.2978443569740631,0.2966375746319692,0.29600594101936506,-2.8499097430179425,0.30055251775134045,0.2967597334719984,0.29837381145480996,0.29788540382164314,0.299790181570993,0.2999984132156735,0.30104033460114143,0.29839502473678736,0.2990933948034987,0.30013531651392994,0.29967894150475216,0.3043564557731319,0.30041294447950334,0.2999090545439942,0.2988101746897549,0.2987574009925514,0.29776452785043706
dImean_dt,0.3035101071771101,0.30029436967313355,0.2942882651169132,0.2688182974081589,0.2888256926048922,0.2751870937400169,0.2996196603995409,0.30055251775134045,-2.8498406417180755,0.3000061318035986,0.3007260425144749,0.29943989160833934,0.2979942764241505,0.29999446286118797,0.29886871509395585,0.16525187907381508,0.29863547474764096,0.30190144423261356,0.30008310369130425,0.29857082184613337,0.2985732064079244,0.2997575461893414,0.3002292203859957,0.29783740425822974,0.31976137075640276
dVc_dt,0.29831682859184266,0.4296108635849366,0.2991259015133884,0.28386030896271747,0.3191268567660629,0.3050895337854843,0.302199901569291,0.2967597334719984,0.3000061318035986,-2.8499933881413893,0.3013023989155105,0.6508733158761375,0.32215953913819695,0.30357911987279834,0.6144763092076639,0.30089488189708996,0.2950793425166615,0.2997656872130584,0.3037450002308096,0.30212690784101803,0.18281789674740423,0.29468785769098754,0.30137273429243405,0.31175484469505366,0.29724708485116047
