lambda,mu,gamma,k,objective_value,num_features,selected_features
0.1,0.1,0.1,5,-41.52139435742575,26,"Apparent_Power,Imean,Ic,Idiff_ab,Power_VbIb,Istd,Power_VaIa,Iref_rollstd,Vc,Va,Vdiff_bc,is_current_imbalanced,THD_rollstd,is_current_surge,dIc_dt,dVc_dt,Vb_rollstd,Iref,dVb_dt,dIref_dt,THD_rollmean,Va_rollstd,Ia_Ib_ratio,Ic_Ia_ratio,Power_factor,is_voltage_spike_ca"
0.1,0.1,0.1,10,-18.947890937302898,27,"Apparent_Power,dImean_dt,Imean,Ib_rollmean,Ic,Ia,Ib,Istd,Iref_rollstd,Ib_rollstd,Vc,Idiff_bc,Ic_rollstd,Idiff_ca,THD,dVc_dt,dVa_dt,Iref,dVb_dt,Vb_rollmean,Vc_rollstd,Va_rollstd,Ia_Ib_ratio,Ic_Ia_ratio,dIa_dt,is_zero_Iref,Power_factor"
0.1,0.1,0.1,15,14.99164835328012,24,"Apparent_Power,dImean_dt,Iref_rollmean,Ia,Idiff_ab,Power_VbIb,Iref_rollstd,Vb,Ia_rollstd,Vdiff_ca,Vstd,THD_rollstd,dIb_dt,dVc_dt,Vb_rollstd,dVa_dt,Iref,Va_rollmean,dIref_dt,THD_rollmean,Va_rollstd,Ic_Ia_ratio,is_voltage_spike_ca,is_voltage_spike_bc"
0.1,0.1,0.1,20,36.71992901629736,26,"Iref_error,Iref_rollmean,Ia,Ib,Idiff_ab,Power_VbIb,Power_VaIa,Power_VcIc,Ib_rollstd,Va,Ic_rollstd,Idiff_ca,Ia_rollstd,Vdiff_ab,Vdiff_ca,is_current_imbalanced,THD_rollstd,dIb_dt,Vb_rollstd,Vc_rollmean,Va_rollmean,Va_rollstd,dIa_dt,Ib_Ic_ratio,Power_factor,is_voltage_spike_bc"
0.1,0.1,0.1,25,61.952536734494636,28,"Iref_error,Ia_rollmean,Iref_rollmean,Ic,Ia,Ib,Power_VbIb,Power_VcIc,Vmean,Iref_rollstd,Vc,Va,Ic_rollstd,Idiff_ca,Ia_rollstd,Vdiff_ab,Vdiff_ca,THD_rollstd,is_current_surge,Iref,dVb_dt,Vb_rollmean,Vc_rollstd,Ia_Ib_ratio,dIa_dt,is_zero_Iref,Power_factor,is_voltage_spike_bc"
0.1,0.1,0.1,30,90.77606440497591,30,"Apparent_Power,dImean_dt,Iref_error,Ic_rollmean,Ib_rollmean,Ia_rollmean,Ic,Ia,Ib,Idiff_ab,Power_VbIb,Istd,Vb,Vc,Idiff_bc,Idiff_ca,Vdiff_ab,Vstd,is_THD_below_nominal,dIb_dt,dVb_dt,Vb_rollmean,Va_rollmean,dIref_dt,THD_rollmean,dTHD_dt,Ia_Ib_ratio,is_voltage_spike_ab,is_voltage_spike_bc,is_zero_current"
0.1,0.1,0.5,5,-187.30454141003673,25,"Iref_error,Imean,Ib_rollmean,Ib,Power_VbIb,Power_VcIc,Ib_rollstd,Vc,Va,Idiff_bc,Idiff_ca,Ia_rollstd,Vdiff_ab,Vdiff_bc,is_current_imbalanced,THD_rollstd,is_current_surge,Vb_rollstd,Iref,Vb_rollmean,Va_rollmean,Vc_rollstd,Ic_Ia_ratio,Ib_Ic_ratio,is_voltage_spike_ab"
0.1,0.1,0.5,10,-0.2084440541088064,20,"Imean,Ib,Power_VbIb,Ib_rollstd,Va,Idiff_bc,Idiff_ca,THD,Vdiff_ca,Vdiff_bc,dIc_dt,dVc_dt,Iref,Vc_rollmean,dVb_dt,Va_rollmean,dIref_dt,dIa_dt,is_zero_Iref,is_voltage_spike_bc"
0.1,0.1,0.5,15,88.20195500724193,22,"Apparent_Power,Ic_rollmean,Iref_rollmean,Ic,Iref_rollstd,Vb,Va,Idiff_bc,Ic_rollstd,Ia_rollstd,Vdiff_ca,is_current_imbalanced,is_THD_below_nominal,dIb_dt,dVa_dt,Iref,Va_rollmean,Vc_rollstd,Va_rollstd,Ib_Ic_ratio,Power_factor,is_voltage_spike_ca"
0.1,0.1,0.5,20,182.07828885422225,26,"Apparent_Power,Imean,Ib_rollmean,Iref_rollmean,Ic,Ia,Istd,Vmean,Va,Idiff_bc,Ic_rollstd,Idiff_ca,Ia_rollstd,Vdiff_ab,THD,Vdiff_ca,is_current_imbalanced,THD_rollstd,dIc_dt,dVb_dt,dIref_dt,Vc_rollstd,Ia_Ib_ratio,dIa_dt,is_zero_Iref,Power_factor"
